Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2005-05-02,78.7747573852539,,11002.1103515625,9.0,918.4199829101560,1026.4915771484400,,26.581342697143600,15.52287483215330,,16.517227172851600,,,,,,55.17698287963870
2005-06-01,81.66297912597660,13873.0703125,11329.669921875,8.5,969.510009765625,1082.908935546880,,26.74678611755370,15.98879337310790,,17.126792907714800,,,,,,57.61756134033200
2005-07-01,81.22785949707030,,11630.1298828125,9.449999809265140,1018.02001953125,1138.9542236328100,,27.02252960205080,16.60219955444340,,17.662614822387700,,,,,,57.447959899902300
2005-08-01,84.09012603759770,14978.8798828125,11946.919921875,9.300000190734860,1115.97998046875,1178.1881103515600,,28.10342788696290,17.802200317382800,,19.260263442993200,,,,,,55.97776794433590
2005-09-01,83.32294464111330,15143.75,12506.9697265625,10.350000381469700,1106.3699951171900,1039.1990966796900,,29.002347946167000,18.03013038635250,,19.46673011779790,,,,,,57.78998947143560
2005-09-30,83.90299224853520,,,11.0,,,,28.91411018371580,19.317276000976600,,20.862834930419900,,,,,,56.039493560791000
2005-11-01,82.1982421875,14572.259765625,13867.8603515625,9.25,1188.949951171880,1064.92138671875,,28.335060119628900,18.351919174194300,,19.88457489013670,,,,,,54.7205924987793
2005-12-01,86.64537048339840,15068.0302734375,15130.5,8.25,1305.97998046875,1096.33837890625,,29.05748748779300,19.920625686645500,,21.211854934692400,,,,,,55.075679779052700
2006-01-02,,,,,1389.27001953125,1171.6741943359400,,,,,,,,,,,
2006-02-01,88.0560302734375,15742.2998046875,16480.08984375,8.800000190734860,1375.969970703130,1240.6580810546900,,31.651521682739300,23.258060455322300,,25.034997940063500,,,,,,55.854698181152300
2006-03-01,88.86064147949220,15818.08984375,15964.4599609375,9.449999809265140,,1239.2332763671900,,31.8382625579834,23.155717849731400,,24.749177932739300,,,,,,56.32492446899410
2006-03-31,89.20054626464840,,,9.550000190734860,,,,32.81730270385740,22.9510440826416,,24.605031967163100,,,,,,54.077659606933600
2006-05-01,90.01589965820310,,16925.7109375,9.899999618530270,,1476.4111328125,,34.44146728515630,24.81018829345700,,26.20062828063970,,,,,,52.1939811706543
2006-06-01,88.8564224243164,15645.26953125,15503.740234375,9.25,1295.0899658203100,1321.520751953130,,33.85857009887700,22.377948760986300,,23.764976501464800,,,,,,52.72313690185550
2006-06-30,87.88359069824220,,,10.649999618530300,,,,33.85857009887700,21.927656173706100,,23.337499618530300,,,,,,53.10731887817380
2006-08-01,88.01880645751950,16911.369140625,15440.91015625,10.25,1287.3599853515600,1371.6522216796900,,34.028350830078100,21.94471549987790,,23.499046325683600,,,,,,54.2510871887207
2006-09-01,91.00862121582030,17423.720703125,16134.25,11.949999809265100,1356.6700439453100,1444.4471435546900,,35.488407135009800,22.978328704834000,,24.53295135498050,,,,,,55.93346405029300
2006-10-02,92.50751495361330,,16254.2900390625,10.5,1374.219970703130,1528.861572265630,,35.697792053222700,22.930574417114300,,24.011030197143600,,,,,,57.14117431640630
2006-11-01,95.14798736572270,18453.650390625,16375.259765625,11.100000381469700,1374.3499755859400,1589.8209228515600,,36.97109603881840,24.02559471130370,,25.48982048034670,,,,,,57.78544616699220
2006-12-01,97.38108825683590,18690.8203125,16321.7802734375,10.050000190734900,1434.3599853515600,1734.698486328130,,38.2896614074707,25.659589767456100,,27.177370071411100,,,,,,58.943538665771500
2007-01-02,,20310.1796875,,,1435.260009765630,1836.465576171880,,,,,,,,,,,
2007-02-01,101.05297088623000,20430.16015625,17519.5,12.050000190734900,1382.9000244140600,1771.2734375,,40.48881530761720,27.158048629760700,,29.164810180664100,,,,,,56.571537017822300
2007-03-01,98.26277160644530,19346.599609375,17453.509765625,11.0,,1759.437744140630,,39.187232971191400,25.949932098388700,,27.47844886779790,,,,,,58.522090911865200
2007-04-02,99.86732482910160,19809.69921875,17028.41015625,11.25,1459.530029296880,1849.3291015625,,41.61609649658200,27.6197566986084,,29.568130493164100,,,,,,57.65910720825200
2007-05-01,104.28321075439500,,17274.98046875,12.850000381469700,,2001.1185302734400,,43.57429122924810,28.623043060302700,,30.581459045410200,,,,,,58.12657165527340
