,Date,vfx,Pred_VFNIX
112,2020-03-10,263.40347290039057,273.5418345394938
113,2020-03-11,250.5569305419922,264.6883131033083
114,2020-03-12,226.77696228027344,249.02669553714804
115,2020-03-13,247.91030883789062,261.71265966925245
116,2020-03-16,218.21261596679688,242.16794804638448
117,2020-03-17,231.25738525390625,248.67898796323698
118,2020-03-18,219.29307556152344,239.22305923958265
119,2020-03-19,220.323974609375,242.08793758687716
120,2020-03-20,210.8080139160156,237.0130114036465
121,2020-03-23,204.632568359375,234.527693046889
122,2020-03-24,223.8627014160156,244.53850649345804
123,2020-03-25,226.44985961914062,247.17225015881195
124,2020-03-26,240.58502197265625,254.6666778346371
125,2020-03-27,232.48654174804688,249.09469919437834
126,2020-03-30,240.3074493408203,252.7105895669129
127,2020-03-31,236.48126220703125,250.82117792814734
128,2020-04-01,226.0434417724609,244.3712560739441
129,2020-04-02,231.2474670410156,247.65964708337378
130,2020-04-03,227.7781219482422,246.71776353538553
131,2020-04-06,243.7867431640625,255.18504498238238
132,2020-04-07,243.400146484375,254.79313802175787
133,2020-04-08,251.7563323974609,261.20402281612957
134,2020-04-09,255.43386840820312,262.75045932546806
135,2020-04-13,252.8566131591797,260.4123364398384
136,2020-04-14,260.61807250976557,263.5012171593772
137,2020-04-15,254.8985748291016,259.43116537879547
138,2020-04-16,256.37554931640625,259.6895807715137
139,2020-04-17,263.2547607421875,263.63384148627216
140,2020-04-20,258.5463256835937,260.17494416542837
141,2020-04-21,250.62631225585938,254.54222874951668
142,2020-04-22,256.37554931640625,256.51066772543624
143,2020-04-23,256.24667358398443,257.549162669704
144,2020-04-24,259.8250732421875,259.793470263694
145,2020-04-27,263.65127563476557,261.5174706319868
146,2020-04-28,262.2734375,262.1495323286909
147,2020-04-29,269.25180053710943,266.5309086798953
148,2020-04-30,266.78359985351557,264.9383626107538
149,2020-05-01,259.31951904296875,260.96007763873337
150,2020-05-04,260.4197998046875,261.53637424316827
151,2020-05-05,262.77899169921875,263.2825602812973
