Date,VFINX,VBMFX,VIX.chg,VIX.ret,SPX_SMA,VFINX_SKW,VBMFX_SKW,VIX_SKW
2005/8/31,-0.0091324,0.013561,1.26,0.100880705,130.0668054,0.41128192,-0.966494746,1.466001629
2005/9/30,0.0079406,-0.0110019,1.15,0.081157375,130.9504173,0.41640689,-0.883041149,1.441972698
2005/10/31,-0.0167845,-0.0080953,2.610001,0.189267658,91.23136768,0.125747436,-0.759260253,1.347828747
2005/11/30,0.037646,0.004784,0.96,0.0582878,149.3500308,0.055825224,-0.787212308,1.349152324
2005/12/31,0.0002194,0.009907,1.3,0.087542088,140.3626705,0.104193361,-0.851862696,1.321178481
2006/1/31,0.0264532,-0.0010731,2.58,0.211302211,177.2841467,0.075469711,-0.45085937,1.202415626
2006/2/28,0.002628,0.0037433,0.87,0.059752747,168.0585823,0.141875923,-0.431537661,1.201180313
2006/3/31,0.0123064,-0.0099823,0.78,0.057395143,177.6768301,0.074277026,-0.709166461,1.229432401
2006/4/30,0.0133345,-0.0020749,0.81,0.063579278,189.7704967,-0.046361081,-0.77656823,1.242363171
2006/5/31,-0.0289663,-0.0009452,4.4,0.338461538,118.1563997,-0.039841202,-0.737393505,1.819800018
2006/6/30,0.0012785,0.0010399,2.85,0.152733119,106.721846,-0.139898831,-0.688934496,1.695237487
2006/7/31,0.0060689,0.0134698,3.300001,0.138597276,104.8954524,-0.09245169,-0.660574951,1.60516245
2006/8/31,0.0236194,0.0164237,0.89,0.047746784,136.5532228,-0.115949531,-0.594837665,1.654950354
2006/9/30,0.0256343,0.0081142,1.11,0.072882469,173.9976201,-0.244308461,-0.595263415,1.797003614
2006/10/31,0.0325098,0.0071768,0.64,0.04610951,226.389454,-0.363627099,-0.114491548,1.778350886
2006/11/30,0.0188917,0.0110851,1.57,0.124900557,248.4380886,-0.381700001,-0.240748126,1.72684267
2006/12/31,0.0139122,-0.0047616,1.34,0.108943089,260.7917205,-0.363897777,-0.147406206,1.713800737
2007/1/31,0.0149322,-0.0008198,1.33,0.104972376,273.0199637,-0.352012364,-0.048314089,1.765943686
2007/2/28,-0.0196922,0.0150429,7.159999,0.58978575,209.2332318,-0.314407606,-0.150964788,2.799322597
2007/3/31,0.011116,0.0002224,4.139999,0.226105911,214.5887672,-0.316513015,-0.135391262,2.612724845
2007/4/30,0.0441795,0.0051151,1.77,0.090168115,288.7491788,-0.26179566,-0.107858496,2.61278572
2007/5/31,0.0347705,-0.0077636,1.01,0.069511356,344.9927369,-0.291711223,-0.105831481,2.65935604
2007/6/30,-0.0167628,-0.0038783,2.239999,0.159090838,282.5940996,-0.174698647,0.013785917,2.624674637
2007/7/31,-0.0308481,0.0083887,3.43,0.181577564,191.1659158,-0.226083978,0.000219576,2.562469309
2007/8/31,0.0149832,0.0134211,5.029999,0.208109185,203.2526968,-0.20742758,-0.115981335,2.449651885
2007/9/30,0.0372395,0.0072019,2.24,0.072656503,266.6063458,-0.310597763,-0.227239107,2.46449502
2007/10/31,0.0157884,0.0092649,4.459999,0.162892592,280.204934,-0.410011177,-0.237946271,2.572695925
2007/11/30,-0.041868,0.0190995,5.100001,0.222125489,161.4019166,-0.482925497,-0.117634744,2.418934685
2007/12/31,-0.0069997,0.002166,2.85,0.091669347,128.7899887,-0.448306609,-0.080230036,2.436083371
2008/1/31,-0.0601554,0.0168907,4.08,0.16639478,-18.65463009,-0.689719353,-0.125105732,2.397203925
2008/2/29,-0.0325146,0.0018948,3.01,0.097065463,-93.78773123,-0.63854661,-0.040716746,2.396528209
2008/3/31,-0.004405,0.0029659,4.049999,0.139799763,-109.7573296,-0.590566514,0.020160528,2.391578497
2008/4/30,0.0485421,-0.0030117,1.479999,0.045905673,-19.46099832,-0.602222874,0.080084317,2.418793987
2008/5/31,0.012925,-0.0078658,1.520001,0.063811965,-3.249972227,-0.610838659,0.089413279,2.425687999
2008/6/30,-0.0843817,-6.11E-05,4.93,0.249873289,-191.8277252,-0.931426203,0.195225501,2.233898918
